source_index|h_power|x_power|y_power|expr
79|0|0|2|-A4_0_2-auxP3_0_0*h_0_2-auxP3_0_1*h_0_1-auxP3_0_2*h_0_0+auxP4_0_2
80|0|0|3|-A4_0_3-auxP3_0_0*h_0_3-auxP3_0_1*h_0_2-auxP3_0_2*h_0_1-auxP3_0_3*h_0_0+auxP4_0_3
81|0|0|4|-A4_0_4-auxP3_0_0*h_0_4-auxP3_0_1*h_0_3-auxP3_0_2*h_0_2-auxP3_0_3*h_0_1-auxP3_0_4*h_0_0+auxP4_0_4
82|0|0|5|-A4_0_5-auxP3_0_0*h_0_5-auxP3_0_1*h_0_4-auxP3_0_2*h_0_3-auxP3_0_3*h_0_2-auxP3_0_4*h_0_1-auxP3_0_5*h_0_0+auxP4_0_5
83|0|0|6|-auxP3_0_0-auxP3_0_1*h_0_5-auxP3_0_2*h_0_4-auxP3_0_3*h_0_3-auxP3_0_4*h_0_2-auxP3_0_5*h_0_1-auxP3_0_6*h_0_0+auxP4_0_6
84|0|0|7|-auxP3_0_1-auxP3_0_2*h_0_5-auxP3_0_3*h_0_4-auxP3_0_4*h_0_3-auxP3_0_5*h_0_2-auxP3_0_6*h_0_1-auxP3_0_7*h_0_0+auxP4_0_7
85|0|0|8|-auxP3_0_2-auxP3_0_3*h_0_5-auxP3_0_4*h_0_4-auxP3_0_5*h_0_3-auxP3_0_6*h_0_2-auxP3_0_7*h_0_1-auxP3_0_8*h_0_0+auxP4_0_8
86|0|0|9|-auxP3_0_3-auxP3_0_4*h_0_5-auxP3_0_5*h_0_4-auxP3_0_6*h_0_3-auxP3_0_7*h_0_2-auxP3_0_8*h_0_1-auxP3_0_9*h_0_0+auxP4_0_9
87|0|0|10|-auxP3_0_10*h_0_0-auxP3_0_4-auxP3_0_5*h_0_5-auxP3_0_6*h_0_4-auxP3_0_7*h_0_3-auxP3_0_8*h_0_2-auxP3_0_9*h_0_1+auxP4_0_10
88|0|0|11|-auxP3_0_10*h_0_1-auxP3_0_11*h_0_0-auxP3_0_5-auxP3_0_6*h_0_5-auxP3_0_7*h_0_4-auxP3_0_8*h_0_3-auxP3_0_9*h_0_2+auxP4_0_11
89|0|0|12|-auxP3_0_10*h_0_2-auxP3_0_11*h_0_1-auxP3_0_12*h_0_0-auxP3_0_6-auxP3_0_7*h_0_5-auxP3_0_8*h_0_4-auxP3_0_9*h_0_3+auxP4_0_12
90|0|0|13|-auxP3_0_10*h_0_3-auxP3_0_11*h_0_2-auxP3_0_12*h_0_1-auxP3_0_13*h_0_0-auxP3_0_7-auxP3_0_8*h_0_5-auxP3_0_9*h_0_4+auxP4_0_13
91|0|0|14|-auxP3_0_10*h_0_4-auxP3_0_11*h_0_3-auxP3_0_12*h_0_2-auxP3_0_13*h_0_1-auxP3_0_14*h_0_0-auxP3_0_8-auxP3_0_9*h_0_5+auxP4_0_14
92|0|0|15|-auxP3_0_10*h_0_5-auxP3_0_11*h_0_4-auxP3_0_12*h_0_3-auxP3_0_13*h_0_2-auxP3_0_14*h_0_1-auxP3_0_15*h_0_0-auxP3_0_9+auxP4_0_15
93|0|0|16|-auxP3_0_10-auxP3_0_11*h_0_5-auxP3_0_12*h_0_4-auxP3_0_13*h_0_3-auxP3_0_14*h_0_2-auxP3_0_15*h_0_1-auxP3_0_16*h_0_0+auxP4_0_16
94|0|0|17|-auxP3_0_11-auxP3_0_12*h_0_5-auxP3_0_13*h_0_4-auxP3_0_14*h_0_3-auxP3_0_15*h_0_2-auxP3_0_16*h_0_1-auxP3_0_17*h_0_0+auxP4_0_17
95|0|0|18|-auxP3_0_12-auxP3_0_13*h_0_5-auxP3_0_14*h_0_4-auxP3_0_15*h_0_3-auxP3_0_16*h_0_2-auxP3_0_17*h_0_1+auxP4_0_18-h_0_0
96|0|0|19|-auxP3_0_13-auxP3_0_14*h_0_5-auxP3_0_15*h_0_4-auxP3_0_16*h_0_3-auxP3_0_17*h_0_2+auxP4_0_19-h_0_1
97|0|0|20|-auxP3_0_14-auxP3_0_15*h_0_5-auxP3_0_16*h_0_4-auxP3_0_17*h_0_3+auxP4_0_20-h_0_2
98|0|0|21|-auxP3_0_15-auxP3_0_16*h_0_5-auxP3_0_17*h_0_4+auxP4_0_21-h_0_3
99|0|0|22|-auxP3_0_16-auxP3_0_17*h_0_5+auxP4_0_22-h_0_4
100|0|0|23|-auxP3_0_17+auxP4_0_23-h_0_5
101|0|1|0|-A4_1_0-auxP3_0_0*h_1_0-auxP3_1_0*h_0_0+auxP4_1_0
102|0|1|1|-A4_1_1-auxP3_0_0*h_1_1-auxP3_0_1*h_1_0-auxP3_1_0*h_0_1-auxP3_1_1*h_0_0+auxP4_1_1
103|0|1|2|-A4_1_2-auxP3_0_1*h_1_1-auxP3_0_2*h_1_0-auxP3_1_0*h_0_2-auxP3_1_1*h_0_1-auxP3_1_2*h_0_0+auxP4_1_2
104|0|1|3|-A4_1_3-auxP3_0_2*h_1_1-auxP3_0_3*h_1_0-auxP3_1_0*h_0_3-auxP3_1_1*h_0_2-auxP3_1_2*h_0_1-auxP3_1_3*h_0_0+auxP4_1_3
105|0|1|4|-A4_1_4-auxP3_0_3*h_1_1-auxP3_0_4*h_1_0-auxP3_1_0*h_0_4-auxP3_1_1*h_0_3-auxP3_1_2*h_0_2-auxP3_1_3*h_0_1-auxP3_1_4*h_0_0+auxP4_1_4
106|0|1|5|-A4_1_5-auxP3_0_4*h_1_1-auxP3_0_5*h_1_0-auxP3_1_0*h_0_5-auxP3_1_1*h_0_4-auxP3_1_2*h_0_3-auxP3_1_3*h_0_2-auxP3_1_4*h_0_1-auxP3_1_5*h_0_0+auxP4_1_5
107|0|1|6|-auxP3_0_5*h_1_1-auxP3_0_6*h_1_0-auxP3_1_0-auxP3_1_1*h_0_5-auxP3_1_2*h_0_4-auxP3_1_3*h_0_3-auxP3_1_4*h_0_2-auxP3_1_5*h_0_1-auxP3_1_6*h_0_0+auxP4_1_6
108|0|1|7|-auxP3_0_6*h_1_1-auxP3_0_7*h_1_0-auxP3_1_1-auxP3_1_2*h_0_5-auxP3_1_3*h_0_4-auxP3_1_4*h_0_3-auxP3_1_5*h_0_2-auxP3_1_6*h_0_1-auxP3_1_7*h_0_0+auxP4_1_7
