index	exponent_vector	monomial
251	2,3,4,2,1,0,0	b4^2*q2_0^3*q3_0^4*q4_0^2*q5_0
252	4,2,4,2,1,0,0	b4^4*q2_0^2*q3_0^4*q4_0^2*q5_0
253	6,1,4,2,1,0,0	b4^6*q2_0*q3_0^4*q4_0^2*q5_0
254	8,0,4,2,1,0,0	b4^8*q3_0^4*q4_0^2*q5_0
255	1,5,3,2,1,0,0	b4*q2_0^5*q3_0^3*q4_0^2*q5_0
256	3,4,3,2,1,0,0	b4^3*q2_0^4*q3_0^3*q4_0^2*q5_0
257	5,3,3,2,1,0,0	b4^5*q2_0^3*q3_0^3*q4_0^2*q5_0
258	7,2,3,2,1,0,0	b4^7*q2_0^2*q3_0^3*q4_0^2*q5_0
259	9,1,3,2,1,0,0	b4^9*q2_0*q3_0^3*q4_0^2*q5_0
260	11,0,3,2,1,0,0	b4^11*q3_0^3*q4_0^2*q5_0
261	0,7,2,2,1,0,0	q2_0^7*q3_0^2*q4_0^2*q5_0
262	2,6,2,2,1,0,0	b4^2*q2_0^6*q3_0^2*q4_0^2*q5_0
263	4,5,2,2,1,0,0	b4^4*q2_0^5*q3_0^2*q4_0^2*q5_0
264	6,4,2,2,1,0,0	b4^6*q2_0^4*q3_0^2*q4_0^2*q5_0
265	8,3,2,2,1,0,0	b4^8*q2_0^3*q3_0^2*q4_0^2*q5_0
266	10,2,2,2,1,0,0	b4^10*q2_0^2*q3_0^2*q4_0^2*q5_0
267	12,1,2,2,1,0,0	b4^12*q2_0*q3_0^2*q4_0^2*q5_0
268	14,0,2,2,1,0,0	b4^14*q3_0^2*q4_0^2*q5_0
269	1,8,1,2,1,0,0	b4*q2_0^8*q3_0*q4_0^2*q5_0
270	3,7,1,2,1,0,0	b4^3*q2_0^7*q3_0*q4_0^2*q5_0
271	5,6,1,2,1,0,0	b4^5*q2_0^6*q3_0*q4_0^2*q5_0
272	7,5,1,2,1,0,0	b4^7*q2_0^5*q3_0*q4_0^2*q5_0
273	9,4,1,2,1,0,0	b4^9*q2_0^4*q3_0*q4_0^2*q5_0
274	11,3,1,2,1,0,0	b4^11*q2_0^3*q3_0*q4_0^2*q5_0
275	13,2,1,2,1,0,0	b4^13*q2_0^2*q3_0*q4_0^2*q5_0
276	0,1,1,7,0,0,0	q2_0*q3_0*q4_0^7
277	0,0,3,6,0,0,0	q3_0^3*q4_0^6
278	0,3,1,6,0,0,0	q2_0^3*q3_0*q4_0^6
279	0,2,3,5,0,0,0	q2_0^2*q3_0^3*q4_0^5
280	0,5,1,5,0,0,0	q2_0^5*q3_0*q4_0^5
281	0,1,5,4,0,0,0	q2_0*q3_0^5*q4_0^4
282	0,0,7,3,0,0,0	q3_0^7*q4_0^3
283	2,5,4,0,2,0,0	b4^2*q2_0^5*q3_0^4*q5_0^2
284	4,4,4,0,2,0,0	b4^4*q2_0^4*q3_0^4*q5_0^2
285	6,3,4,0,2,0,0	b4^6*q2_0^3*q3_0^4*q5_0^2
286	8,2,4,0,2,0,0	b4^8*q2_0^2*q3_0^4*q5_0^2
287	10,1,4,0,2,0,0	b4^10*q2_0*q3_0^4*q5_0^2
288	12,0,4,0,2,0,0	b4^12*q3_0^4*q5_0^2
289	1,7,3,0,2,0,0	b4*q2_0^7*q3_0^3*q5_0^2
290	1,0,0,7,1,0,0	b4*q4_0^7*q5_0
291	0,1,1,6,1,0,0	q2_0*q3_0*q4_0^6*q5_0
292	2,0,1,6,1,0,0	b4^2*q3_0*q4_0^6*q5_0
293	1,2,0,6,1,0,0	b4*q2_0^2*q4_0^6*q5_0
294	3,1,0,6,1,0,0	b4^3*q2_0*q4_0^6*q5_0
295	5,0,0,6,1,0,0	b4^5*q4_0^6*q5_0
296	0,0,3,5,1,0,0	q3_0^3*q4_0^5*q5_0
297	1,1,2,5,1,0,0	b4*q2_0*q3_0^2*q4_0^5*q5_0
298	3,0,2,5,1,0,0	b4^3*q3_0^2*q4_0^5*q5_0
299	0,3,1,5,1,0,0	q2_0^3*q3_0*q4_0^5*q5_0
300	2,2,1,5,1,0,0	b4^2*q2_0^2*q3_0*q4_0^5*q5_0
301	4,1,1,5,1,0,0	b4^4*q2_0*q3_0*q4_0^5*q5_0
302	6,0,1,5,1,0,0	b4^6*q3_0*q4_0^5*q5_0
303	1,4,0,5,1,0,0	b4*q2_0^4*q4_0^5*q5_0
304	3,3,0,5,1,0,0	b4^3*q2_0^3*q4_0^5*q5_0
305	5,2,0,5,1,0,0	b4^5*q2_0^2*q4_0^5*q5_0
306	7,1,0,5,1,0,0	b4^7*q2_0*q4_0^5*q5_0
307	9,0,0,5,1,0,0	b4^9*q4_0^5*q5_0
308	1,0,4,4,1,0,0	b4*q3_0^4*q4_0^4*q5_0
309	0,2,3,4,1,0,0	q2_0^2*q3_0^3*q4_0^4*q5_0
310	2,1,3,4,1,0,0	b4^2*q2_0*q3_0^3*q4_0^4*q5_0
311	4,0,3,4,1,0,0	b4^4*q3_0^3*q4_0^4*q5_0
312	1,3,2,4,1,0,0	b4*q2_0^3*q3_0^2*q4_0^4*q5_0
313	3,2,2,4,1,0,0	b4^3*q2_0^2*q3_0^2*q4_0^4*q5_0
314	5,1,2,4,1,0,0	b4^5*q2_0*q3_0^2*q4_0^4*q5_0
315	7,0,2,4,1,0,0	b4^7*q3_0^2*q4_0^4*q5_0
316	0,5,1,4,1,0,0	q2_0^5*q3_0*q4_0^4*q5_0
317	2,4,1,4,1,0,0	b4^2*q2_0^4*q3_0*q4_0^4*q5_0
318	4,3,1,4,1,0,0	b4^4*q2_0^3*q3_0*q4_0^4*q5_0
319	6,2,1,4,1,0,0	b4^6*q2_0^2*q3_0*q4_0^4*q5_0
320	8,1,1,4,1,0,0	b4^8*q2_0*q3_0*q4_0^4*q5_0
321	10,0,1,4,1,0,0	b4^10*q3_0*q4_0^4*q5_0
322	1,6,0,4,1,0,0	b4*q2_0^6*q4_0^4*q5_0
323	3,5,0,4,1,0,0	b4^3*q2_0^5*q4_0^4*q5_0
324	5,4,0,4,1,0,0	b4^5*q2_0^4*q4_0^4*q5_0
325	7,3,0,4,1,0,0	b4^7*q2_0^3*q4_0^4*q5_0
326	9,2,0,4,1,0,0	b4^9*q2_0^2*q4_0^4*q5_0
327	11,1,0,4,1,0,0	b4^11*q2_0*q4_0^4*q5_0
328	13,0,0,4,1,0,0	b4^13*q4_0^4*q5_0
329	0,1,5,3,1,0,0	q2_0*q3_0^5*q4_0^3*q5_0
330	2,0,5,3,1,0,0	b4^2*q3_0^5*q4_0^3*q5_0
331	1,2,4,3,1,0,0	b4*q2_0^2*q3_0^4*q4_0^3*q5_0
332	3,1,4,3,1,0,0	b4^3*q2_0*q3_0^4*q4_0^3*q5_0
333	5,0,4,3,1,0,0	b4^5*q3_0^4*q4_0^3*q5_0
334	0,4,3,3,1,0,0	q2_0^4*q3_0^3*q4_0^3*q5_0
335	2,3,3,3,1,0,0	b4^2*q2_0^3*q3_0^3*q4_0^3*q5_0
336	4,2,3,3,1,0,0	b4^4*q2_0^2*q3_0^3*q4_0^3*q5_0
337	6,1,3,3,1,0,0	b4^6*q2_0*q3_0^3*q4_0^3*q5_0
338	8,0,3,3,1,0,0	b4^8*q3_0^3*q4_0^3*q5_0
