kind	key	coordinate	coefficient_exact
derivative-only	('g', 'F0', -6, 5)	p60	(-2625000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p69	(-7875000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p77	(-19687500/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p86	(-43312500/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p101	(1386000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p102	(1386000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p103	(1386000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p105	(11781000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p106	(23562000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p107	(35343000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p108	(23562000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p109	(14515875000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p110	(2734875000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p111	(494802000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p112	(448729875000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p113	(261285750000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p114	(95299875000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p116	(-19546312500/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p117	(1498921875000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p118	(-83763281250/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p119	(-467663625000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p120	(-359917593750/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p121	(-96283687500/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p122	(-8803080000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p123	(-4353143437500/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p124	(-1141140000000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p125	(53490937500/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p126	(-4992487500000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p127	(3025053281250/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p128	(1556867812500/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p129	(28614836250000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p130	(3236577093750/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p131	(-12207945750000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	constant	(51348169618790750/3)*S^0+(-126943000349984000/3)*S^1+(174936523852382000/3)*S^2+(-28428906553970750/1)*S^3+(44206862602505500/3)*S^4+(-2098247655551000/1)*S^5|0|0
derivative-only	('g', 'F0', -5, 3)	p36	(-2500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p40	(-12500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p45	(-37500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p52	(-87500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p61	(1925000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p62	(1925000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p63	(1925000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p66	(11550000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p67	(23100000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p68	(34650000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p69	(23100000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p70	(15330000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p71	(3780000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p72	(300300000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p73	(350350000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p74	(324870000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p75	(199290000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p76	(74620000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p78	(-17745000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p79	(2992535000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p80	(1795430000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p81	(2095730000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 3)	p82	(815360000/1)*S^0|0|0
