X_power	W_power	literal_terms	semantic_degree	sha256
7	23	2954	4	15f66f64c96ca9bc6adda3b32f42d4b0cde1ac8dff657ff95d94d0d54afc554d
8	22	1395	4	6f66f36dfcb01b1e2d11bcbc0734f34191a4ca4ffcbf49ca1d172ef41ebc7a16
9	21	77	3	7d5fed19fd2f333d4f385cb71ee3978b7d3b535ffeada3a02f1aad29956b87d6
0	31	2630	4	8bcff19ae0b66d0fd0df4b86af5bc7301f37d1b2a3c679d3c9f2b962302118fb
1	30	4496	4	bab62183dc5567c249202458a5d303f609fbe7589ce021735aecb924ed384bbc
2	29	5957	4	df91579148cae389abf1534a09738c64005aa6f8cd14e2c985d60161ab41b0b1
3	28	7124	4	4327743782adc1b9a803f113e521342bdf3cc7896e0144b1ec0d9895ebe11f43
4	27	7384	4	7c04f6ab1ba770a9ad75c872d71400f93e4093d288b45a907939bbbac6237f4d
5	26	6773	4	810566a9fe345330b0a083be7359c42087b0a8d4700d1d481047bf463886358a
6	25	5737	4	ab3fe4b678fa9243e02f7215a2cd5f346ab8121ed32da7ae2cede6a83ee9f83d
7	24	4046	4	127fafbd39cc2b279aaa6d77a6866586a843c50ca413be58821fe286d6ec0776
8	23	1881	4	afdba45896f9a3e899539b7a5c17128b521e6c790ca71be977166a9617147f3b
9	22	280	4	c600130b84c8b507c2ddc581da4f0d93c926a47e2470cbda4724b25c7fe3bdb2
0	32	2771	4	bf97d957c09b6d74837b40876222ad455117cec8fdc71034a0b001e1fdc8b1ba
1	31	4719	4	44ef4619feecd9faa13692694e40ddc24e53a0fe8540a7ff6fcf6d36bd0dd33d
2	30	6505	4	119d0ca0488db418f3df8e62a550ca4039c129abd9c145514a239840b38035f3
3	29	7621	4	9e5687651a1678376de6ea6500d58bc9007f771a27ec9538f69c8dc54636831f
4	28	8067	4	05b3436794f247ed1bb2b315629681f6101c59c11948136b3a85a23a06bd0ee4
5	27	7611	4	8b908a5eda87f92c78179744042943489f2d144519f8feef3310e1ae3eb3296a
6	26	6548	4	e28522917b8825d35088c90b82b095374cb695dd45ace58c8d6484e949055d1d
7	25	4779	4	5f7e309de49c69479927188516d1dd835c172bd76262556c229b7abd7d93905c
8	24	2683	4	cd22358153d3a8157921ef9c0d24a40b151cfc02529921ad128795d8e6e8ae72
9	23	577	4	e9df3445fb528a43f858d6bd04c827552cb0462c7fb1033fd90fefc240f5f742
0	33	2898	4	a736b0aec36bf17cbda77dc209cee286b3da0b82b8054c0ac791a863f8a32896
1	32	5044	4	e132aa752cfef6a116331b869a76c672b10bc953a91050d062eee222e3c159e0
2	31	6938	4	a1a69daab5743cc4d374b76000c77dd793d2f6e81e6132a3e63251ec98077fe2
3	30	8272	4	a7d64620b08d9905ff3bd2581a2bedc17c0a1bf3192876406aed4a216b54e6e8
4	29	8473	4	a9fb3dd07e62da5ee957ed4f19e32fbe195e5771848b96545a7d71866f33cf32
5	28	8491	4	5c6f0b31aca1df046829d2122bf5769e7248adcf528f0935f204d0c329a62b4a
6	27	6974	4	729679ebc66c1460b76b2156baa1683486c64882d7c5c850a75b3aa2014b59b6
7	26	5693	4	2cc0baf1eaee4631a79efb86ca71b7186cd6e0b18355c7dddf5446134bd9d4cc
8	25	3476	4	4b784cf6b4d0bb49fbdd89dab2f8c50d86f44f38edfcd1800f64a615bb202c2a
9	24	994	4	3f6f50dbdd352801c3abcb1806e1b1712d39806f44bfa02f9d0bcd9f169ea86a
10	23	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	34	3012	4	a4d40e8f620faee47c99647acc17f013f2e4ed8e479b300d768ca2e66e1d56ce
1	33	5239	4	d5a51d1a9f0403295890847711411b98a2a8241d554f846e154430456794ac54
2	32	7217	4	a5e12faaec5959a7b8388151769c9ae6983fe9a41138b1b4cf5473bd2535533b
3	31	8622	4	e0b6d4cb6c2f1e2976ae8c3de85d91b163abce81cfd47e2b67fac1f4db93e8f4
4	30	9499	4	fab51249bcfbdf49b7a87723839fef6e2d82c3235248c8c6ffcd09858c6482f1
5	29	8918	4	fb7ecef44beb24baa9a1e57c8f33cb10143d3bda9ace790d0729fa9aff2b9f0e
6	28	8299	4	5bba31774460ab7a8d950faba66875e2796e400a4ea85195f32422399050ed8e
7	27	6386	4	5889add1edbde0d93547dbe64a22a74f3ef603f014a90bad93f32a89da8971b6
8	26	3837	4	b6a306e7b28e14010bc1981e1a36f17c77131b99e954edb689ee1ed8de3f3f53
9	25	1743	4	32d18bd2cdc917fbc038f68fd0775ad55b80ffb303c55b4ba07a6ec1e61eeead
10	24	82	3	7227ef9be304537f5cc13f9a6a392710b06dff89f3f5e978668a608ee8778613
0	35	3121	4	15c4af1bf0c0071e122ae2a67ffc05e16f4510240435d1aa124ac228d4ef4825
1	34	5538	4	762efaf9dc0b00988f9324a49a31d1e500483adc80e2df423e9cacdab2ed6e1b
2	33	7769	4	8a45bc2d7451a8272f8d270c93ae4be64a3ac1fcd4cd30c7cbde19d383ca9ed1
