source_index|h_power|x_power|y_power|expr
45|1|1|6|6*h_2_8*h_0_1*bp^2-24*h_0_0*a2*bp^2-12*h_0_0*bp^2+54*h_1_8*bp*br+12*h_2_8*bp*bs
46|1|1|5|6*h_2_7*h_0_1*bp^2-12*h_2_8*h_0_0*bp^2-12*a2*bp^3-6*bp^3+48*h_1_7*bp*br+12*h_2_7*bp*bs
47|1|1|4|6*h_2_6*h_0_1*bp^2-12*h_2_7*h_0_0*bp^2-6*h_2_8*bp^3+42*h_1_6*bp*br+12*h_2_6*bp*bs
48|1|1|3|6*h_2_5*h_0_1*bp^2-12*h_2_6*h_0_0*bp^2-6*h_2_7*bp^3+36*h_1_5*bp*br+12*h_2_5*bp*bs
49|1|1|2|-12*h_2_5*h_0_0*bp^2-6*h_2_6*bp^3+30*h_1_4*bp*br
50|1|1|1|-6*h_2_5*bp^3+24*h_1_3*bp*br
51|1|1|0|18*h_1_2*bp*br
52|1|0|9|66*bp*br
53|1|0|8|-3*h_0_1*a2*bp^2-6*h_0_1*bp^2+60*h_0_10*bp*br-6*a2*bp*bs-12*bp*bs
54|1|0|7|3*h_1_9*h_0_1*bp^2+6*h_0_0*a2*bp^2+12*h_0_0*bp^2+54*h_0_9*bp*br+6*h_1_9*bp*bs
55|1|0|6|3*h_1_8*h_0_1*bp^2-6*h_1_9*h_0_0*bp^2+3*a2*bp^3+6*bp^3+48*h_0_8*bp*br+6*h_1_8*bp*bs
56|1|0|5|3*h_1_7*h_0_1*bp^2-6*h_1_8*h_0_0*bp^2-3*h_1_9*bp^3+42*h_0_7*bp*br+6*h_1_7*bp*bs
57|1|0|4|3*h_1_6*h_0_1*bp^2-6*h_1_7*h_0_0*bp^2-3*h_1_8*bp^3+36*h_0_6*bp*br+6*h_1_6*bp*bs
58|1|0|3|3*h_1_5*h_0_1*bp^2-6*h_1_6*h_0_0*bp^2-3*h_1_7*bp^3+30*h_0_5*bp*br+6*h_1_5*bp*bs
59|1|0|2|3*h_1_4*h_0_1*bp^2-6*h_1_5*h_0_0*bp^2-3*h_1_6*bp^3+24*h_0_4*bp*br+6*h_1_4*bp*bs
60|1|0|1|3*h_1_3*h_0_1*bp^2-6*h_1_4*h_0_0*bp^2-3*h_1_5*bp^3+18*h_0_3*bp*br+6*h_1_3*bp*bs
61|1|0|0|3*h_1_2*h_0_1*bp^2-6*h_1_3*h_0_0*bp^2-3*h_1_4*bp^3+6*a2*bq^2+12*h_0_2*bp*br+6*h_1_2*bp*bs+12*bq^2+66*bq*br
