source_index|h_power|x_power|y_power|expr
103|0|2|17|-auxP2_1_10*h_1_7-auxP2_1_11*h_1_6-auxP2_1_12*h_1_5-auxP2_2_10*h_0_7-auxP2_2_11*h_0_6-auxP2_2_12*h_0_5-auxP2_2_13*h_0_4-auxP2_2_14*h_0_3+auxP3_2_17
104|0|2|18|-auxP2_1_11*h_1_7-auxP2_1_12*h_1_6-auxP2_1_13*h_1_5-auxP2_2_10-auxP2_2_11*h_0_7-auxP2_2_12*h_0_6-auxP2_2_13*h_0_5-auxP2_2_14*h_0_4+auxP3_2_18
105|0|2|19|-auxP2_1_12*h_1_7-auxP2_1_13*h_1_6-auxP2_1_14*h_1_5-auxP2_2_11-auxP2_2_12*h_0_7-auxP2_2_13*h_0_6-auxP2_2_14*h_0_5+auxP3_2_19
106|0|2|20|-auxP2_1_13*h_1_7-auxP2_1_14*h_1_6-auxP2_1_15*h_1_5-auxP2_2_12-auxP2_2_13*h_0_7-auxP2_2_14*h_0_6+auxP3_2_20
107|0|2|21|-auxP2_1_14*h_1_7-auxP2_1_15*h_1_6-auxP2_2_13-auxP2_2_14*h_0_7+auxP3_2_21
108|0|2|22|-auxP2_1_15*h_1_7-auxP2_2_14+auxP3_2_22
109|0|3|15|-auxP2_2_10*h_1_5+auxP3_3_15
110|0|3|16|-auxP2_2_10*h_1_6-auxP2_2_11*h_1_5+auxP3_3_16
111|0|3|17|-auxP2_2_10*h_1_7-auxP2_2_11*h_1_6-auxP2_2_12*h_1_5+auxP3_3_17
112|0|3|18|-auxP2_2_11*h_1_7-auxP2_2_12*h_1_6-auxP2_2_13*h_1_5+auxP3_3_18
113|0|3|19|-auxP2_2_12*h_1_7-auxP2_2_13*h_1_6-auxP2_2_14*h_1_5+auxP3_3_19
114|0|3|20|-auxP2_2_13*h_1_7-auxP2_2_14*h_1_6+auxP3_3_20
115|0|3|21|-auxP2_2_14*h_1_7+auxP3_3_21
116|0|0|0|auxQ2_0_0-h_0_0^2
117|0|0|1|-B2_0_1+auxQ2_0_1-2*h_0_0*h_0_1
118|0|0|2|-B2_0_2+auxQ2_0_2-2*h_0_0*h_0_2-h_0_1^2
119|0|0|3|-B2_0_3+auxQ2_0_3-2*h_0_0*h_0_3-2*h_0_1*h_0_2
120|0|0|4|-B2_0_4+auxQ2_0_4-2*h_0_0*h_0_4-2*h_0_1*h_0_3-h_0_2^2
121|0|0|5|-B2_0_5+auxQ2_0_5-2*h_0_0*h_0_5-2*h_0_1*h_0_4-2*h_0_2*h_0_3
122|0|0|6|-B2_0_6+auxQ2_0_6-2*h_0_0*h_0_6-2*h_0_1*h_0_5-2*h_0_2*h_0_4-h_0_3^2
123|0|0|7|-B2_0_7+auxQ2_0_7-2*h_0_0*h_0_7-2*h_0_1*h_0_6-2*h_0_2*h_0_5-2*h_0_3*h_0_4
124|0|0|8|auxQ2_0_8-2*h_0_0-2*h_0_1*h_0_7-2*h_0_2*h_0_6-2*h_0_3*h_0_5-h_0_4^2
125|0|0|9|auxQ2_0_9-2*h_0_1-2*h_0_2*h_0_7-2*h_0_3*h_0_6-2*h_0_4*h_0_5
126|0|0|10|auxQ2_0_10-2*h_0_2-2*h_0_3*h_0_7-2*h_0_4*h_0_6-h_0_5^2
127|0|0|11|auxQ2_0_11-2*h_0_3-2*h_0_4*h_0_7-2*h_0_5*h_0_6
128|0|0|12|auxQ2_0_12-2*h_0_4-2*h_0_5*h_0_7-h_0_6^2
129|0|0|13|auxQ2_0_13-2*h_0_5-2*h_0_6*h_0_7
130|0|0|14|auxQ2_0_14-2*h_0_6-h_0_7^2
131|0|0|15|auxQ2_0_15-2*h_0_7
132|0|1|5|-B2_1_5+auxQ2_1_5-2*h_0_0*h_1_5
133|0|1|6|-B2_1_6+auxQ2_1_6-2*h_0_0*h_1_6-2*h_0_1*h_1_5
