admissible rows 48<=n<=100 (Kmin=16, full (1)-(13)): 592
  u_s=1 (Prop 6.4 automatic): 457
  u_s>=2 (hypothesis live)  : 135
  u_s<=0 (no minor disc)    : 0

AUTO  n= 72 m= 48 M=(-48, -36, 44, 70) d=(72, 24, 12, 4, 2) V=(2, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -36, 64, 70) d=(72, 24, 12, 4, 2) V=(1, 4, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -36, 64, 70) d=(72, 24, 12, 4, 2) V=(2, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -12, 52, 70) d=(72, 24, 12, 4, 2) V=(2, 1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -12, 68, 70) d=(72, 24, 12, 4, 2) V=(2, 7, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, 12, 28, 70) d=(72, 24, 12, 4, 2) V=(1, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, 12, 56, 70) d=(72, 24, 12, 4, 2) V=(2, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, 36, 44, 70) d=(72, 24, 12, 4, 2) V=(1, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, 36, 68, 70) d=(72, 24, 12, 4, 2) V=(3, 5, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, 60, 68, 70) d=(72, 24, 12, 4, 2) V=(11, 7, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -36, 42, 70) d=(72, 24, 12, 6, 2) V=(2, 1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
LIVE  n= 72 m= 48 M=(-48, -12, 18, 70) d=(72, 24, 12, 6, 2) V=(1, 8, 4) d_s=6 v_s=4 u_s=2 v/u=2 ell=1 -> (24,16)
LIVE  n= 72 m= 48 M=(-48, -12, 18, 70) d=(72, 24, 12, 6, 2) V=(5, 8, 4) d_s=6 v_s=4 u_s=2 v/u=2 ell=1 -> (24,16)
AUTO  n= 72 m= 48 M=(-48, -12, 18, 70) d=(72, 24, 12, 6, 2) V=(20, 10, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, -12, 42, 70) d=(72, 24, 12, 6, 2) V=(2, 1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, -12, 42, 70) d=(72, 24, 12, 6, 2) V=(1, 4, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, -12, 42, 70) d=(72, 24, 12, 6, 2) V=(2, 4, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
LIVE  n= 72 m= 48 M=(-48, -12, 54, 70) d=(72, 24, 12, 6, 2) V=(1, 8, 4) d_s=6 v_s=4 u_s=2 v/u=2 ell=1 -> (24,16)
LIVE  n= 72 m= 48 M=(-48, -12, 54, 70) d=(72, 24, 12, 6, 2) V=(2, 8, 4) d_s=6 v_s=4 u_s=2 v/u=2 ell=1 -> (24,16)
AUTO  n= 72 m= 48 M=(-48, -12, 54, 70) d=(72, 24, 12, 6, 2) V=(2, 1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
LIVE  n= 72 m= 48 M=(-48, 12, 30, 70) d=(72, 24, 12, 6, 2) V=(1, 8, 4) d_s=6 v_s=4 u_s=2 v/u=2 ell=1 -> (24,16)
AUTO  n= 72 m= 48 M=(-48, 12, 42, 70) d=(72, 24, 12, 6, 2) V=(2, 1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, 12, 54, 70) d=(72, 24, 12, 6, 2) V=(1, 10, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
LIVE  n= 72 m= 48 M=(-48, 12, 66, 70) d=(72, 24, 12, 6, 2) V=(1, 8, 4) d_s=6 v_s=4 u_s=2 v/u=2 ell=1 -> (24,16)
AUTO  n= 72 m= 48 M=(-48, 12, 66, 70) d=(72, 24, 12, 6, 2) V=(1, 8, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, 36, 42, 70) d=(72, 24, 12, 6, 2) V=(2, 1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
LIVE  n= 72 m= 48 M=(-48, 36, 66, 70) d=(72, 24, 12, 6, 2) V=(3, 5, 4) d_s=6 v_s=4 u_s=2 v/u=2 ell=1 -> (24,16)
AUTO  n= 72 m= 48 M=(-48, 36, 66, 70) d=(72, 24, 12, 6, 2) V=(3, 7, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, 60, 66, 70) d=(72, 24, 12, 6, 2) V=(11, 10, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (12,8)
AUTO  n= 75 m= 50 M=(-50, 5, 73) d=(75, 25, 5, 1) V=(20, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 75 m= 50 M=(-50, 10, 73) d=(75, 25, 5, 1) V=(1, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 75 m= 50 M=(-50, 40, 73) d=(75, 25, 5, 1) V=(1, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 75 m= 50 M=(-50, 40, 73) d=(75, 25, 5, 1) V=(2, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 75 m= 50 M=(-50, 40, 73) d=(75, 25, 5, 1) V=(11, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 75 m= 50 M=(-50, 55, 73) d=(75, 25, 5, 1) V=(2, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 75 m= 50 M=(-50, 55, 73) d=(75, 25, 5, 1) V=(3, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
