path	sha256	start_utc	end_utc	final_status	exit_code	window_elapsed_seconds	full_elapsed_seconds
xmodel/f10-contact-gram-runtime-gate-fable5-20260910.run.v2	1bf3d3c4963f045ade0c63c40c62337eefab44ee7c3301b82fb4553b3da9da3f	2026-09-10T20:42:41Z	2026-09-10T20:53:59Z	DONE	0	678	678
xmodel/f10-r2-map-observer-gate-fable5-20260910.run.v2	bb122ea15d1622ec9179a414c70c48960d403d165ff05008983f24867cad203c	2026-09-10T14:46:25Z	2026-09-10T14:54:09Z	DONE	0	464	464
xmodel/ideation-20260910T1130Z-cross-fable5.run.v2	efc36e93f5d6ee3de187e26d8aa2e3a1b253b5b737eab0f2160d53c8106d5ca0	2026-09-10T11:49:11Z	2026-09-10T11:53:08Z	DONE	0	237	237
xmodel/f10-r2-full-source-gate-fable5-20260910.run.v2	9a5e4628ea3cc4eb11bf90a642c155960a4df5c6af956e43364f0024ebc2b2be	2026-09-10T08:47:47Z	2026-09-10T08:58:24Z	DONE	0	637	637
xmodel/f10-r2-degree-scope-gate-fable5-20260910.run.v2	4cc4473fe2e1a03ff2ca2e120ba6494261e0f836dca711f679edbe6cc8e51d27	2026-09-10T18:57:57Z	2026-09-10T19:07:17Z	DONE	0	560	560
xmodel/f10-middle-real-controls-gate-fable5-20260910.run.v2	737643ea51148e4a87325a8575d32b5e3c251922f763c122a112351956b54eb2	2026-09-10T11:12:37Z	2026-09-10T11:21:59Z	DONE	0	562	562
xmodel/f10-r2-native-cache-correction-gate-fable5-20260910.run.v2	c0ec5b783b270f55190f491fde2e0a876c57b7a5f4a6357a3f0569afaea688bd	2026-09-10T15:34:19Z	2026-09-10T15:43:11Z	DONE	0	532	532
xmodel/ideation-20260909T2320Z-cross-fable5.run.v2	809fac314d6b345ec5b02bef29e379a4626e2b83bda2b77d2c3cd5ed40185311	2026-09-09T23:41:37Z	2026-09-09T23:46:16Z	DONE	0	279	279
xmodel/f10-r2-semantic-code-gate-fable5-20260910.run.v2	011c2c572947e29c8994e0630d51b1ad4b4e43cb2fb9d8fb00dd7ce0b014b13d	2026-09-10T13:33:38Z	2026-09-10T13:43:14Z	DONE	0	576	576
xmodel/f10-r2-scale-cover-gate-fable5-20260910.run.v2	0abc0d8ad57a5d37f41e5538e6b235d39105e257a613d34c4167de6c1370e253	2026-09-10T09:03:42Z	2026-09-10T09:09:17Z	DONE	0	335	335
xmodel/f10-contact-global-finiteness-gate-fable5-20260910.run.v2	86de5f4431a0da5968730700bfc8193dffaf3045d0a6fffd0f106a23fb5c08fe	2026-09-10T01:46:55Z	2026-09-10T01:53:37Z	DONE	0	402	402
xmodel/f10-r2-modular-macaulay-bound-gate-fable5-20260910.run.v2	26c3b4ff1d863bd8615285b34d5301c09f02e7a651827faf1726c4759c9625ee	2026-09-10T15:49:37Z	2026-09-10T16:02:04Z	DONE	0	747	747
xmodel/f10-contact-gram-code-gate-fable5-20260910.run.v2	ee738d2a91cda9a04adb356700f927f5b5bda5c836a1bed471aee4ef3a4c3dd5	2026-09-10T20:18:01Z	2026-09-10T20:28:26Z	DONE	0	625	625
xmodel/f10-r2-semantic-ready-result-gate-fable5-20260910.run.v2	8057928af8db186589289af1d68f832caa529a2f12eecbecc0d71b712254a1ed	2026-09-10T16:49:20Z	2026-09-10T16:57:30Z	DONE	0	490	490
xmodel/f10-r1-quotient-remainder-design-gate-fable5-20260910.run.v2	3d3cfe1b1ffeec1220e7eee2215a9977baa8d1748d1b5cd3937c81137c8b060f	2026-09-10T00:04:30Z	2026-09-10T00:10:36Z	DONE	0	366	366
xmodel/f10-r2-modular-fullsource-gate-fable5-20260910.run.v2	a90c1ab6ecc7782bf8746d0a7f3a3137d88707668dab07146b5c7356fa45da15	2026-09-10T15:06:58Z	2026-09-10T15:16:33Z	DONE	0	575	575
xmodel/f10-r2-highest-bezout-code-gate-fable5-20260910.run.v2	ffddb039445a169e921d27a2004ca8d2ac23ab856078e4c8a828a0057abafc95	2026-09-10T13:58:44Z	2026-09-10T14:08:34Z	DONE	0	590	590
xmodel/ideation-20260909T2320Z-fable5.run.v2	ffc192e8f6417d146092a1ac5a1195d77a14b4cd199f69c47406f503ca35dda6	2026-09-09T23:31:41Z	2026-09-09T23:38:13Z	DONE	0	392	392
xmodel/f10-all-r-scale-cover-gate-fable5-20260910.run.v2	f5b168a57b864b65976780c77b5576d1703206756ebccc6d54be345ff133b256	2026-09-10T09:25:52Z	2026-09-10T09:36:02Z	DONE	0	610	610
xmodel/f10-integer-wire-repair-gate-fable5-20260910.run.v2	f1f6de586b20530efadbc084a6e3b598ba473c4df984cec74eddcbaa38066100	2026-09-10T04:40:45Z	2026-09-10T04:47:01Z	DONE	0	376	376
xmodel/f10-large-decimal-runtime-gate-fable5-20260910.run.v2	b74cf158dc3f183d5c8abaa284281fc22ead34d7ffe7874a09258fc0ddd4e236	2026-09-10T06:50:09Z	2026-09-10T06:57:00Z	DONE	0	411	411
xmodel/f10-r2-cyclic-core-gate-fable5-20260910.run.v2	bf414fe7455997dc0733af64a8be62348afde4efcba8542cbfa798ce08251050	2026-09-10T11:17:25Z	2026-09-10T11:25:58Z	DONE	0	513	513

